Unnamed: 0,Rating,Jurisdiction,Charges,Days_of_disposal,City,Years_of_Experience,Type_of_Lawyer,Languages,Pro_bono,Lawyer Names,Lawfirms,Demography,Gender
0,5.0,Supreme Court,489,107.0,['Chennai'],21,"['Constitutional', 'Immigration', 'Constitutional']","['Marathi', 'Hindi']",no,Aaina Ganesan,['Tara Inc'],Small Businesses.,Female
1,4.0,District Court,70,91.0,['Mumbai'],15,"['Human Rights', 'Labor', 'Corporate']","['Kannada', 'Hindi', 'Odia']",yes,Aaina Gopal,"['Issac', 'Vaidya', 'Varma']",Small Businesses.,Female
2,4.0,District Court,282,106.0,['Mumbai'],22,"['Medical', 'Immigration', 'Civil']","['Bengali', 'Urdu']",yes,Aaina Kanda,['Anne-Srinivasan'],Individuals.,Female
3,1.0,Specialized Court,490,102.0,['Mumbai'],5,"['Consumer Protection', 'Environmental', 'Environmental']","['Punjabi', 'Bengali', 'Assamese']",yes,Aaina Kaul,['Amble Ltd'],Individuals.,Female
4,1.0,Specialized Court,441,85.0,['Hyderabad'],7,"['Corporate', 'Criminal', 'Labor']","['Telugu', 'Urdu', 'Punjabi']",no,Aaina Kurian,['Mall-Tiwari'],Individuals.,Female
5,1.0,Supreme Court,162,97.0,['Chennai'],29,"['Consumer Protection', 'Banking and Finance', 'Environmental']","['Bengali', 'Telugu', 'Marathi']",yes,Aaina Rege,['Gala LLC'],Large Corporations.,Female
6,3.0,Specialized Court,212,88.0,['Chennai'],17,"['Family', 'Tax', 'Tax']","['Tamil', 'Marathi', 'Urdu']",yes,Aaina Sampath,"['Ben', 'Mallick', 'Kala']",Individuals.,Female
7,2.0,High Court,471,100.0,['Bangalore'],18,"['Constitutional', 'Environmental', 'Intellectual Property']","['Assamese', 'Gujarati']",yes,Aaina Sani,['Chawla-Ravel'],Individuals.,Female
8,2.0,High Court,389,77.0,['Mumbai'],12,"['Criminal', 'Environmental', 'Real Estate']","['Telugu', 'Kannada', 'Marathi']",yes,Aaina Sharma,['Sathe-Bal'],Individuals.,Female
9,2.0,High Court,447,89.0,['Bangalore'],19,"['Constitutional', 'Medical', 'Criminal']","['Bengali', 'Assamese', 'Urdu']",no,Aaina Singhal,"['Rastogi', 'Shan', 'Ch', 'ran']",Small Businesses.,Female
10,2.0,Specialized Court,125,113.0,['Bangalore'],21,"['Real Estate', 'Constitutional', 'Corporate']","['Kannada', 'Gujarati', 'Odia']",yes,Aaina Sule,['Goda-Bakshi'],Small Businesses.,Female
11,3.0,District Court,84,93.0,['Bangalore'],19,"['Real Estate', 'Medical', 'Constitutional']","['Assamese', 'Marathi', 'Urdu']",no,Aaina Sundaram,['Sanghvi Ltd'],Large Corporations.,Female
12,1.0,Supreme Court,412,99.0,['Mumbai'],4,"['Banking and Finance', 'Constitutional', 'Tax']","['Kannada', 'Bengali', 'Malayalam']",yes,Aaina Upadhyay,['Thakkar Group'],Large Corporations.,Female
13,3.0,Supreme Court,474,98.0,['Chennai'],23,"['Media and Entertainment', 'Intellectual Property', 'Civil']","['Telugu', 'Urdu', 'Punjabi']",yes,Aarav Batra,['Deol-Buch'],Individuals.,Male
14,4.0,District Court,109,76.0,['Bangalore'],26,"['Corporate', 'Media and Entertainment', 'Consumer Protection']","['Punjabi', 'Gujarati', 'Hindi']",no,Aarav Dhingra,['Kala-Goda'],Small Businesses.,Male
15,4.0,District Court,236,100.0,['Hyderabad'],14,"['Civil', 'Civil', 'Environmental']","['Punjabi', 'Gujarati', 'Marathi']",yes,Aarav Lal,"['M', '-Dewan']",Large Corporations.,Male
16,,High Court,456,90.0,['Delhi'],29,"['Media and Entertainment', 'Tax', 'Medical']","['Telugu', 'Assamese', 'Hindi']",no,Aarav Madan,['Jayaraman Ltd'],Individuals.,Male
17,5.0,High Court,155,70.0,['Mumbai'],1,"['Human Rights', 'Civil', 'Tax']","['Assamese', 'Telugu', 'Hindi']",yes,Aarav Mangat,['Kumer PLC'],Small Businesses.,Male
18,1.0,Supreme Court,379,115.0,['Delhi'],15,"['Tax', 'Corporate', 'Tax']","['Bengali', 'Marathi', 'Tamil']",yes,Aarav Rajan,"['Kadakia', 'Karan', 'Lata']",Individuals.,Male
19,5.0,District Court,322,88.0,['Delhi'],1,"['Media and Entertainment', 'Real Estate', 'Human Rights']","['Punjabi', 'Marathi', 'Urdu']",no,Aarav Wali,['Srinivasan-Kannan'],Large Corporations.,Male
20,1.0,High Court,384,107.0,['Chennai'],19,"['Environmental', 'Constitutional', 'Civil']","['Telugu', 'Hindi', 'Malayalam']",no,Aarna Balan,['Bail-Lanka'],Large Corporations.,Female
21,3.0,District Court,140,108.0,['Chennai'],1,"['Corporate', 'Corporate', 'Human Rights']","['Marathi', 'Gujarati', 'Odia']",no,Aarna Deo,"['Brahmbhatt', 'Kant', 'Hari']",Small Businesses.,Female
22,2.0,Specialized Court,253,89.0,['Bangalore'],1,"['Criminal', 'Banking and Finance', 'Consumer Protection']","['Bengali', 'Assamese', 'Tamil']",yes,Aarna Dhar,"['Rout', 'Raval', 'Bawa']",Small Businesses.,Female
