,Lawyer Names,0,1,2,3,4,5,6,7,8,Gender
0,Aaina Ganesan,"Aaina Ganesan has 21 years of experience in Constitutional Law, Immigration Law, and Constitutional Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 488.7892263684566 USD per hour,He takes 106.03188482091439 Avg Days for Disposal,"He speaks: Marathi, Marathi and Hindi","He practices at Tara Inc, and is based in Chennai",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
1,Aaina Gopal,"Aaina Gopal has 15 years of experience in Human Rights Law, Labor Law, and Corporate Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 70.1457749098191 USD per hour,He takes 90.89857885194658 Avg Days for Disposal,"He speaks: Kannada, Odia and Hindi","He practices at Issac, Vaidya and Varma, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Female
2,Aaina Kanda,"Aaina Kanda has 22 years of experience in Medical Law, Immigration Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is District Court,He charges 281.7173789873024 USD per hour,He takes 105.15568969924895 Avg Days for Disposal,"He speaks: Bengali, Bengali and Urdu","He practices at Anne-Srinivasan, and is based in Mumbai",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
3,Aaina Kaul,"Aaina Kaul has 5 years of experience in Consumer Protection Law, Environmental Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 490.2194585882633 USD per hour,He takes 101.8230621119578 Avg Days for Disposal,"He speaks: Punjabi, Assamese and Bengali","He practices at Amble Ltd, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Female
4,Aaina Kurian,"Aaina Kurian has 7 years of experience in Corporate Law, Criminal Law, and Labor Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 441.09458092612783 USD per hour,He takes 84.71868378819178 Avg Days for Disposal,"He speaks: Urdu, Telugu and Punjabi","He practices at Mall-Tiwari, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.,Female
5,Aaina Rege,"Aaina Rege has 29 years of experience in Consumer Protection Law, Banking and Finance Law, and Environmental Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 162.481541557773 USD per hour,He takes 96.74150273920893 Avg Days for Disposal,"He speaks: Bengali, Telugu and Marathi","He practices at Gala LLC, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Female
6,Aaina Sampath,"Aaina Sampath has 17 years of experience in Family Law, Tax Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 211.79441503400156 USD per hour,He takes 87.23566497250933 Avg Days for Disposal,"He speaks: Marathi, Urdu and Tamil","He practices at Ben, Mallick and Kala, and is based in Chennai",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
7,Aaina Sani,"Aaina Sani has 18 years of experience in Constitutional Law, Environmental Law, and Intellectual Property Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 471.19738055079995 USD per hour,He takes 99.87214554003845 Avg Days for Disposal,"He speaks: Assamese, Gujarati and Assamese","He practices at Chawla-Ravel, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Individuals.,Female
8,Aaina Sharma,"Aaina Sharma has 12 years of experience in Criminal Law, Environmental Law, and Real Estate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 388.7272120216892 USD per hour,He takes 76.83773966766552 Avg Days for Disposal,"He speaks: Telugu, Kannada and Marathi","He practices at Sathe-Bal, and is based in Mumbai",She provides pro bono services to the community,Her Client Demographics is Individuals.,Female
9,Aaina Singhal,"Aaina Singhal has 19 years of experience in Constitutional Law, Medical Law, and Criminal Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 446.7727878779283 USD per hour,He takes 88.93319563754496 Avg Days for Disposal,"He speaks: Urdu, Bengali and Assamese","He practices at Rastogi, Shan and Chandran, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.,Female
