,Lawyer Names,0,1,2,3,4,5,6,7,8,First_Name,Gender
0,Anay Ahluwalia,"Anay Ahluwalia has 20 years of experience in Corporate Law, Consumer Protection Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 420.6850078605348 USD per hour,He takes 117.69593880898871 Avg Days for Disposal,"He speaks: Telugu, Hindi and Hindi","He practices at Saini PLC, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Anay,Female
1,Anay Kar,"Anay Kar has 17 years of experience in Banking and Finance Law, Human Rights Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 139.51840090776727 USD per hour,He takes 77.39260521739963 Avg Days for Disposal,"He speaks: Malayalam, Hindi and Hindi","He practices at D’Alia, Rajagopal and Doctor, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.,Anay,Female
2,Anay Batra,"Anay Batra has 20 years of experience in Civil Law, Corporate Law, and Immigration Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 460.2095992683736 USD per hour,He takes 97.13627987747299 Avg Days for Disposal,"He speaks: Telugu, Marathi and Telugu","He practices at Dada, Wali and Jani, and is based in Bangalore",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Anay,Female
3,Anay Bajaj,"Anay Bajaj has 13 years of experience in Media and Entertainment Law, Civil Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is District Court,He charges 458.6376591769345 USD per hour,He takes 110.38946399047208 Avg Days for Disposal,"He speaks: Assamese, Telugu and Kannada","He practices at Lanka-Chahal, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Large Corporations.,Anay,Female
4,Anay Wagle,"Anay Wagle has 7 years of experience in Tax Law, Civil Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 394.7706957122501 USD per hour,He takes 74.73132764284261 Avg Days for Disposal,"He speaks: Gujarati, Hindi and Punjabi","He practices at Gupta-Dugal, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Large Corporations.,Anay,Female
5,Anay Subramaniam,"Anay Subramaniam has 16 years of experience in Intellectual Property Law, Consumer Protection Law, and Intellectual Property Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 323.49324593454105 USD per hour,He takes 94.58498352963893 Avg Days for Disposal,"He speaks: Bengali, Odia and Kannada","He practices at Mangat, Ghosh and Badal, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Individuals.,Anay,Female
6,Anay Kumar,"Anay Kumar has 12 years of experience in Civil Law, Banking and Finance Law, and Civil Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is District Court,He charges 290.5495451402176 USD per hour,He takes 83.93764260781046 Avg Days for Disposal,"He speaks: Tamil, Urdu and Telugu","He practices at Saxena, Rajagopalan and Bajwa, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Anay,Female
7,Anay Mall,"Anay Mall has 6 years of experience in Human Rights Law, Civil Law, and Consumer Protection Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 388.99081934566567 USD per hour,He takes 92.87834317532472 Avg Days for Disposal,"He speaks: Punjabi, Urdu and Malayalam","He practices at Shan LLC, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.,Anay,Female
8,Anay Dutt,"Anay Dutt has 15 years of experience in Banking and Finance Law, Medical Law, and Civil Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 183.08877557914823 USD per hour,He takes 82.44524609436606 Avg Days for Disposal,"He speaks: Tamil, Punjabi and Malayalam","He practices at Sharaf Ltd, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.,Anay,Female
9,Anay Chawla,"Anay Chawla has 15 years of experience in Intellectual Property Law, Consumer Protection Law, and Tax Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 126.39132419321113 USD per hour,He takes 99.62312467404018 Avg Days for Disposal,"He speaks: Malayalam, Tamil and Gujarati","He practices at Dalal-Thakkar, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.,Anay,Female
