,Lawyer Names,Information,First_Name
6,Rania Bansal,"Rania Bansal has 21 years of experience in Labor Law, Media and Entertainment Law, and Civil Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 181.03840474848087 USD per hour. He takes 77.91012403410878 Avg Days for Disposal. He speaks: Hindi, Malayalam and Bengali. He practices at Devi, Kade and Gopal, and is based in Hyderabad. She does not provide pro bono services to the community. Her Client Demographics is Individuals.",Rania
13,Vardaniya Mallick,"Vardaniya Mallick has 24 years of experience in Labor Law, Intellectual Property Law, and Medical Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 201.81158526077584 USD per hour. He takes 69.79119123627976 Avg Days for Disposal. He speaks: Urdu, Odia and Assamese. He practices at Bhattacharyya, Bakshi and Iyengar, and is based in Hyderabad. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Vardaniya
17,Aaryahi Sood,"Aaryahi Sood has 24 years of experience in Consumer Protection Law, Media and Entertainment Law, and Labor Law. He has a Client Feedback of 2.0 out of 5.0. His Jurisdiction is High Court. He charges 256.8347394604071 USD per hour. He takes 85.48761065951552 Avg Days for Disposal. He speaks: Telugu, Telugu and Gujarati. He practices at Shankar-Sodhi, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Small Businesses.",Aaryahi
18,Suhana Bawa,"Suhana Bawa has 3 years of experience in Human Rights Law, Labor Law, and Banking and Finance Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is District Court. He charges 150.621146745652 USD per hour. He takes 65.59032408079027 Avg Days for Disposal. He speaks: Tamil, Telugu and Odia. He practices at Keer-Saini, and is based in Delhi. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Suhana
19,Anahi Gala,"Anahi Gala has 22 years of experience in Labor Law, Consumer Protection Law, and Immigration Law. He has a Client Feedback of N/A out of 5.0. His Jurisdiction is Supreme Court. He charges 470.0547973624335 USD per hour. He takes N/A Avg Days for Disposal. He speaks: Odia, Tamil and Gujarati. He practices at Kala Inc, and is based in Delhi. She does not provide pro bono services to the community. Her Client Demographics is Large Corporations.",Anahi
23,Shayak Wable,"Shayak Wable has 12 years of experience in Consumer Protection Law, Media and Entertainment Law, and Constitutional Law. He has a Client Feedback of 4.0 out of 5.0. His Jurisdiction is High Court. He charges 474.69835415516724 USD per hour. He takes 92.70442320755167 Avg Days for Disposal. He speaks: Malayalam, Kannada and Gujarati. He practices at Dube Ltd, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Individuals.",Shayak
31,Aaryahi Banik,"Aaryahi Banik has 22 years of experience in Environmental Law, Human Rights Law, and Environmental Law. He has a Client Feedback of 1.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 264.69941796226675 USD per hour. He takes 71.33270325166701 Avg Days for Disposal. He speaks: Hindi, Bengali and Bengali. He practices at Bhagat-Singhal, and is based in Mumbai. He does not provide pro bono services to the community. His Client Demographics is Large Corporations.",Aaryahi
40,Ivana Madan,"Ivana Madan has 28 years of experience in Media and Entertainment Law, Media and Entertainment Law, and Medical Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is High Court. He charges 88.90587820406854 USD per hour. He takes 90.82504404050061 Avg Days for Disposal. He speaks: Hindi, Telugu and Gujarati. He practices at Banik-Raval, and is based in Hyderabad. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Ivana
46,Stuvan Krish,"Stuvan Krish has 23 years of experience in Media and Entertainment Law, Real Estate Law, and Constitutional Law. He has a Client Feedback of 3.0 out of 5.0. His Jurisdiction is Specialized Court. He charges 179.08099054124 USD per hour. He takes 84.63014348379997 Avg Days for Disposal. He speaks: Telugu, Punjabi and Malayalam. He practices at Varughese-Ben, and is based in Kolkata. He provides pro bono services to the community. His Client Demographics is Small Businesses.",Stuvan
53,Aaina Ganesan,"Aaina Ganesan has 21 years of experience in Constitutional Law, Immigration Law, and Constitutional Law. He has a Client Feedback of 5.0 out of 5.0. His Jurisdiction is Supreme Court. He charges 488.7892263684566 USD per hour. He takes 106.03188482091439 Avg Days for Disposal. He speaks: Marathi, Marathi and Hindi. He practices at Tara Inc, and is based in Chennai. She does not provide pro bono services to the community. Her Client Demographics is Small Businesses.",Aaina
