Lawyer Names,0,1,2,3,4,5,6,7,8
Anay Ahluwalia,"Anay Ahluwalia has 20 years of experience in Corporate Law, Consumer Protection Law, and Labor Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 420.6850078605348 USD per hour,He takes 117.69593880898871 Avg Days for Disposal,"He speaks: Telugu, Hindi and Hindi","He practices at Saini PLC, and is based in Hyderabad",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Arnav Dubey,"Arnav Dubey has 29 years of experience in Intellectual Property Law, Criminal Law, and Tax Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 435.66306274876007 USD per hour,He takes 119.00039621571536 Avg Days for Disposal,"He speaks: Urdu, Kannada and Tamil","He practices at Sarna-Contractor, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Lavanya Lalla,"Lavanya Lalla has 15 years of experience in Human Rights Law, Civil Law, and Family Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 236.79822958471968 USD per hour,He takes 93.85126197992682 Avg Days for Disposal,"He speaks: Gujarati, Kannada and Tamil","He practices at Gade-Cheema, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Armaan Khosla,"Armaan Khosla has 11 years of experience in Constitutional Law, Media and Entertainment Law, and Real Estate Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 90.20295603134008 USD per hour,He takes 89.82727367885032 Avg Days for Disposal,"He speaks: Punjabi, Telugu and Tamil","He practices at Brahmbhatt-Konda, and is based in Kolkata",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
Advik Chaudry,"Advik Chaudry has 8 years of experience in Human Rights Law, Constitutional Law, and Human Rights Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 247.00166478482896 USD per hour,He takes 105.45989712362339 Avg Days for Disposal,"He speaks: Malayalam, Odia and Urdu","He practices at Barad PLC, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.
Urvi Bedi,"Urvi Bedi has 29 years of experience in Medical Law, Immigration Law, and Constitutional Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 153.83056559317419 USD per hour,He takes 106.42197753340989 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Malayalam","He practices at Bhatia, Kumer and Bahl, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Rania Bansal,"Rania Bansal has 21 years of experience in Labor Law, Media and Entertainment Law, and Civil Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 181.03840474848087 USD per hour,He takes 77.91012403410878 Avg Days for Disposal,"He speaks: Hindi, Malayalam and Bengali","He practices at Devi, Kade and Gopal, and is based in Hyderabad",She does not provide pro bono services to the community,Her Client Demographics is Individuals.
Urvi Gera,"Urvi Gera has 7 years of experience in Labor Law, Consumer Protection Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 397.5204005768776 USD per hour,He takes 82.10167300294947 Avg Days for Disposal,"He speaks: Gujarati, Kannada and Hindi","He practices at Hari LLC, and is based in Kolkata",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Shamik Kamdar,"Shamik Kamdar has 26 years of experience in Real Estate Law, Media and Entertainment Law, and Immigration Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 83.98718871164908 USD per hour,He takes 70.16478847975057 Avg Days for Disposal,"He speaks: Malayalam, Telugu and Bengali","He practices at Virk LLC, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Individuals.
Ayesha Bala,"Ayesha Bala has 19 years of experience in Banking and Finance Law, Environmental Law, and Civil Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Specialized Court,He charges 422.41154786631597 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Telugu, Punjabi and Punjabi","He practices at Wali, Mann and Choudhry, and is based in Chennai",She provides pro bono services to the community,Her Client Demographics is Individuals.
Jayesh Kapur,"Jayesh Kapur has 23 years of experience in Immigration Law, Immigration Law, and Medical Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is High Court,He charges 242.45108862087608 USD per hour,He takes 99.99941825185336 Avg Days for Disposal,"He speaks: Telugu, Tamil and Urdu","He practices at Madan LLC, and is based in Bangalore",He provides pro bono services to the community,His Client Demographics is Large Corporations.
Rohan Basu,"Rohan Basu has 11 years of experience in Family Law, Real Estate Law, and Media and Entertainment Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 318.2287689952678 USD per hour,He takes 69.75111543208091 Avg Days for Disposal,"He speaks: Tamil, Telugu and Tamil","He practices at Chopra Inc, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Divit Kapoor,"Divit Kapoor has 11 years of experience in Environmental Law, Banking and Finance Law, and Real Estate Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 90.34350405605555 USD per hour,He takes 83.17201642775761 Avg Days for Disposal,"He speaks: Malayalam, Tamil and Tamil","He practices at Bora, Malhotra and Manne, and is based in Kolkata",She does not provide pro bono services to the community,Her Client Demographics is Small Businesses.
Vardaniya Mallick,"Vardaniya Mallick has 24 years of experience in Labor Law, Intellectual Property Law, and Medical Law",He has a Client Feedback of 1.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 201.81158526077584 USD per hour,He takes 69.79119123627976 Avg Days for Disposal,"He speaks: Urdu, Odia and Assamese","He practices at Bhattacharyya, Bakshi and Iyengar, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Ivan Koshy,"Ivan Koshy has 21 years of experience in Constitutional Law, Banking and Finance Law, and Media and Entertainment Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 90.36541355668061 USD per hour,He takes 76.51800284634244 Avg Days for Disposal,"He speaks: Bengali, Assamese and Assamese","He practices at Roy, Krishna and Kala, and is based in Delhi",He provides pro bono services to the community,His Client Demographics is Small Businesses.
Reyansh Sibal,"Reyansh Sibal has 4 years of experience in Corporate Law, Intellectual Property Law, and Medical Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 482.6946752964993 USD per hour,He takes 98.26525590339449 Avg Days for Disposal,"He speaks: Telugu, Marathi and Urdu","He practices at Chatterjee, Cherian and Ramaswamy, and is based in Kolkata",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Vedika Vala,"Vedika Vala has 8 years of experience in Environmental Law, Corporate Law, and Criminal Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 413.2677421968127 USD per hour,He takes 78.99776899982581 Avg Days for Disposal,"He speaks: Urdu, Urdu and Punjabi","He practices at De Inc, and is based in Hyderabad",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Aaryahi Sood,"Aaryahi Sood has 24 years of experience in Consumer Protection Law, Media and Entertainment Law, and Labor Law",He has a Client Feedback of 2.0 out of 5.0,His Jurisdiction is High Court,He charges 256.8347394604071 USD per hour,He takes 85.48761065951552 Avg Days for Disposal,"He speaks: Telugu, Telugu and Gujarati","He practices at Shankar-Sodhi, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Small Businesses.
Suhana Bawa,"Suhana Bawa has 3 years of experience in Human Rights Law, Labor Law, and Banking and Finance Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 150.621146745652 USD per hour,He takes 65.59032408079027 Avg Days for Disposal,"He speaks: Tamil, Telugu and Odia","He practices at Keer-Saini, and is based in Delhi",He does not provide pro bono services to the community,His Client Demographics is Large Corporations.
Anahi Gala,"Anahi Gala has 22 years of experience in Labor Law, Consumer Protection Law, and Immigration Law",He has a Client Feedback of N/A out of 5.0,His Jurisdiction is Supreme Court,He charges 470.0547973624335 USD per hour,He takes N/A Avg Days for Disposal,"He speaks: Odia, Tamil and Gujarati","He practices at Kala Inc, and is based in Delhi",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Gatik Suresh,"Gatik Suresh has 21 years of experience in Corporate Law, Environmental Law, and Environmental Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Supreme Court,He charges 205.06846807713728 USD per hour,He takes 89.33590020233027 Avg Days for Disposal,"He speaks: Assamese, Kannada and Bengali","He practices at Chauhan-Choudhary, and is based in Bangalore",She provides pro bono services to the community,Her Client Demographics is Individuals.
Saanvi Thakur,"Saanvi Thakur has 2 years of experience in Labor Law, Banking and Finance Law, and Media and Entertainment Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 122.44299425931864 USD per hour,He takes 79.06561124950257 Avg Days for Disposal,"He speaks: Telugu, Kannada and Urdu","He practices at Garde, Bassi and Tailor, and is based in Chennai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Bhavin Kata,"Bhavin Kata has 24 years of experience in Family Law, Civil Law, and Family Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is District Court,He charges 303.42397480427974 USD per hour,He takes 87.16478553476288 Avg Days for Disposal,"He speaks: Assamese, Telugu and Odia","He practices at Dave, Kunda and Tiwari, and is based in Bangalore",She does not provide pro bono services to the community,Her Client Demographics is Large Corporations.
Shayak Wable,"Shayak Wable has 12 years of experience in Consumer Protection Law, Media and Entertainment Law, and Constitutional Law",He has a Client Feedback of 4.0 out of 5.0,His Jurisdiction is High Court,He charges 474.69835415516724 USD per hour,He takes 92.70442320755167 Avg Days for Disposal,"He speaks: Malayalam, Kannada and Gujarati","He practices at Dube Ltd, and is based in Mumbai",He does not provide pro bono services to the community,His Client Demographics is Individuals.
Nakul Varughese,"Nakul Varughese has 6 years of experience in Tax Law, Criminal Law, and Environmental Law",He has a Client Feedback of 5.0 out of 5.0,His Jurisdiction is Specialized Court,He charges 51.723630725145156 USD per hour,He takes 77.77697776635983 Avg Days for Disposal,"He speaks: Urdu, Malayalam and Bengali","He practices at Shetty, Ghose and Kara, and is based in Hyderabad",He provides pro bono services to the community,His Client Demographics is Individuals.
Aarush Rajagopalan,"Aarush Rajagopalan has 2 years of experience in Labor Law, Medical Law, and Human Rights Law",He has a Client Feedback of 3.0 out of 5.0,His Jurisdiction is District Court,He charges 157.15617946429944 USD per hour,He takes 67.85606183997331 Avg Days for Disposal,"He speaks: Malayalam, Kannada and Telugu","He practices at Date-Upadhyay, and is based in Delhi",She provides pro bono services to the community,Her Client Demographics is Large Corporations.
